bib,name,age,avatar_url,info,x_username,instagram_username,ibuki_url
1,其阿弥 駿,31,https://tjar.jp/wp-content/uploads/2026/08/goami_01-1536x1152.jpg,半年前に結婚,,go_shuuun,
2,河内 和観,31,https://tjar.jp/wp-content/uploads/2026/08/kawauchi-1536x1152.jpg,亡き親友の想いと共に,_yellow_kazu_,kazu.kawauchi,
3,石川 岳,33,https://tjar.jp/wp-content/uploads/2026/08/isikawa_03-1536x1152.jpg,テントを背負ってどこまでも,,takeru_2641278,
4,湯谷 真琴,33,https://tjar.jp/wp-content/uploads/2026/08/yutani_04-1536x1152.jpg,挑戦し続ける姿を教え子に見せたい,,ice48cream,
5,鹿野 颯太,36,https://tjar.jp/wp-content/uploads/2026/08/shikano_05-1536x1152.jpg,燃え尽き症候群からの再起,,,
6,石原 裕貴（石原ボーイ）,36,https://tjar.jp/wp-content/uploads/2026/08/ishihara-1536x1152.jpg,元体重100kgのあんこ屋さん,,y.i__mountain.trail,
7,石尾 和貴,36,https://tjar.jp/wp-content/uploads/2026/08/ishio_07-1536x1152.jpg,ぷっちょ,,kazutaka.ishio,
8,高木 直之,40,https://tjar.jp/wp-content/uploads/2026/08/takagi_08-1536x1152.jpg,いつも頭の片隅にTJARの存在が,,,
9,木村 勇基,40,https://tjar.jp/wp-content/uploads/2026/08/kimura_09-1536x1152.jpg,百名山をの次はこれだと幼稚園の先生,,,
10,西本 享司,41,https://tjar.jp/wp-content/uploads/2026/08/nishimoto_10-1536x1152.jpg,こんなもんじゃ　憧れはとめられねえよな,,,
11,山野本 陽平,41,https://tjar.jp/wp-content/uploads/2026/08/5182451D-54E3-4DCB-82A6-454F1BBF49F02025-09-22_05-42-41_594-%E5%B1%B1%E3%81%AE%E9%BA%93%E3%81%A7%E3%82%84%E3%81%BE%E3%81%A1%E3%82%83%E3%82%93-1536x1152.jpeg,今度は自分が南アルプスを駆け抜ける,gogo_high_mt,gogotozan2022tjar,
12,鈴木 亮士,41,https://tjar.jp/wp-content/uploads/2026/08/755694437_1385859157044146_8201173079733278698_n-1536x864.jpg,医師として自分の体の変化を楽しむ,,,
13,伊東 裕介,42,https://tjar.jp/wp-content/uploads/2026/08/ito-1536x1152.jpg,自分自身をもっと好きになる,,1129_yusuke,
14,脇屋 貴司,42,https://tjar.jp/wp-content/uploads/2026/08/wakiya_14-1536x1152.jpg,芋けんぴなめんなよ,,takaonotakashi,
15,細田 典匡,42,https://tjar.jp/wp-content/uploads/2026/08/hosoda_15-1536x1152.jpg,家族にゴールで迎えてほしい,,norimasahosoda,
16,前田 和俊,43,https://tjar.jp/wp-content/uploads/2026/08/maeda_16-1536x1152.jpg,脱いだTシャツの匂いが薔薇だった？,,,
17,岡本 隆志,43,https://tjar.jp/wp-content/uploads/2026/08/okamoto_17-1536x1152.jpg,しいたけ太郎,,shiitaketaro2,
18,笹野 裕輔,45,https://tjar.jp/wp-content/uploads/2026/08/sasano-1536x1152.jpg,前回リタイア組の中で唯一、再挑戦,,33u,
19,中野 洋平,45,https://tjar.jp/wp-content/uploads/2026/08/nakano-1536x1152.jpg,極限の「身体」「動き」「栄養」「メンタル」,,,
20,中原 隆裕,45,https://tjar.jp/wp-content/uploads/2026/08/nakahara-1536x1152.jpg,標準的な性能の消防士,,NAKANAKA_TAKAHIRAW,
21,片野 大輔,47,https://tjar.jp/wp-content/uploads/2026/08/noimage-1536x1152.jpg,ダスティン,dustin_katano,dustin_katano,
22,高岸 史朗,47,https://tjar.jp/wp-content/uploads/2026/08/takagishi_22-1536x1152.jpg,志半ばで終わる悔しさと胸の奥で燻り続ける気持ち,,kawaitahone,
23,安井 和史,48,https://tjar.jp/wp-content/uploads/2026/08/yasui-1536x1152.jpg,TJARが終わった後で手術,,kazujasdf,
24,保谷 敏幸,49,https://tjar.jp/wp-content/uploads/2026/08/hotani_24-1536x1152.jpg,想いの全てを今回のレースで出し尽くしたい,,tosshi123,
25,前田 圭紀,50,https://tjar.jp/wp-content/uploads/2026/08/maeda_25-1536x1152.jpg,一瞬で恋に落ちて3回目の出場,,bokko_no.2,
26,黒田 浩太郎,52,https://tjar.jp/wp-content/uploads/2026/08/kuroda_26-1536x1152.jpg,自分もいつか「台風どんとこい」,,,
27,内田 憲匡,55,https://tjar.jp/wp-content/uploads/2026/08/uchida_27-1536x1152.jpg,道中で雷鳥を30羽見つけます♪,,norimasauchida,
28,辻本 有仁,55,https://tjar.jp/wp-content/uploads/2026/08/tsujimoto-1536x1152.jpg,誰かと競うためではなく、自分と闘うためでもなく,matsu97,arihito97,
29,坪井 伸一,58,https://tjar.jp/wp-content/uploads/2026/08/tsuboi-1536x1152.jpg,3回目のチャレンジ、今度こそ完走して大往生。,,,
30,井嶋 健一,63,https://tjar.jp/wp-content/uploads/2026/08/ijima-1536x1152.jpg,今回は絶対に完走します,,,
